obj|statement|label|book|page
a8437964-4402-4c7e-ba58-2b80b585e8c0|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
a9ddd6b3-4983-4578-89b3-daf62c5f4bad|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
abcf7b22-bb97-4c2c-add9-765e6899b728|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
ac5d2755-b86a-495a-83b8-e8b426b13983|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
b02794a5-c4aa-46e4-baaa-54995aca657a|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
b207dd1e-716e-45fa-90a5-e56647d9c540|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
b377bb53-4e37-4ffa-9d0b-93040f07527f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
b621d561-abca-4c40-8758-41933da6b7a1|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
b66e4a77-656b-4d95-8f28-f1c8520dd78f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
b791ab03-d723-448e-ae84-06090c585cbc|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
b9f06093-e9fb-47d4-a597-84b2e5f5e923|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
ba3332a8-02d0-4771-a815-a30abcb866dc|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
bb4a12ba-f42a-4fc4-b636-a2ae1447cec5|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
c0da1b80-0fc5-49bb-a195-8d3068af7eee|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
c228ad80-216d-44c1-98a3-2710d7edd252|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
c3ddb5e5-2c75-4ab3-9381-ebebc06ace1b|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
c53ba5d1-dd07-44c0-8f47-1d8ec703af90|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
c674bce8-09de-4bd7-9c32-acc5efccb383|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
c99c4aea-0b41-4270-8716-742c55f4d756|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
cbf8f1f8-fd5b-4d96-992f-9100680e795b|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
cf39db75-8eca-447b-8598-37e294a5d26d|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
d20cf61f-3d41-455e-a671-0511ebd9383f|c30c01b2-9c7e-45ec-833b-f734e1000016|Hayes 53A|Hayes (1972)|p.78-80
